Elapsed time,EKG
00:00:000:000,0
00:00:001:004,0
00:00:002:008,0
00:00:003:012,0
00:00:004:012,0
00:00:005:016,0
00:00:006:020,0
00:00:007:020,0
00:00:008:024,0
00:00:009:024,0
00:00:010:024,0
00:00:011:028,0
00:00:012:032,0
00:00:013:032,0
00:00:014:036,0
00:00:015:040,0
00:00:016:040,0
00:00:017:044,0
00:00:018:044,0
00:00:019:048,0
00:00:020:048,0
00:00:021:052,0
00:00:022:052,0
00:00:023:056,0
00:00:024:056,0
00:00:025:056,0
00:00:026:060,0
00:00:027:064,0
00:00:028:064,0
00:00:029:068,0
00:00:030:068,0
00:00:031:068,0
00:00:032:072,0
00:00:033:072,0
00:00:034:076,0
00:00:035:076,0
00:00:036:080,0
00:00:037:080,0
00:00:038:084,0
00:00:039:084,0
00:00:040:088,0
00:00:041:088,0
00:00:042:092,0
00:00:043:092,0
00:00:044:092,0
00:00:045:096,0
00:00:046:096,0
00:00:047:096,0
00:00:048:096,0
00:00:049:100,0
00:00:050:100,0
00:00:051:100,0
00:00:052:104,0
00:00:053:108,0
00:00:054:108,0
00:00:055:108,0
00:00:056:112,0
00:00:057:112,0
00:00:058:112,0
00:00:059:116,0
00:00:060:116,0
00:00:061:116,0
00:00:062:120,0
00:00:063:120,0
00:00:064:120,0
00:00:065:124,0
00:00:066:128,0
00:00:067:132,0
00:00:068:136,0
00:00:069:140,0
00:00:070:140,0
00:00:071:144,0
00:00:072:144,0
00:00:073:144,0
00:00:074:148,0
00:00:075:152,0
00:00:076:156,0
00:00:077:160,0
00:00:078:164,0
00:00:079:168,0
00:00:080:172,0
00:00:081:176,0
00:00:082:180,0
00:00:083:180,0
00:00:084:184,0
00:00:085:188,0
00:00:086:192,0
00:00:087:192,0
00:00:088:196,0
00:00:089:200,0
00:00:090:200,0
00:00:091:204,0
00:00:092:204,0
00:00:093:208,0
00:00:094:212,0
00:00:095:216,0
00:00:096:220,0
00:00:097:224,0
00:00:098:228,0
00:00:099:228,0
00:00:100:232,0
00:00:101:236,0
00:00:102:236,0
00:00:103:240,0
00:00:104:240,0
00:00:105:240,0
00:00:106:244,0
00:00:107:244,0
00:00:108:248,0
00:00:109:252,0
00:00:110:256,0
00:00:111:260,0
00:00:112:264,0
00:00:113:268,0
00:00:114:268,0
00:00:115:272,0
00:00:116:272,0
00:00:117:276,0
00:00:118:280,0
00:00:119:284,0
00:00:120:288,0
00:00:121:288,0
00:00:122:292,0
00:00:123:296,0
00:00:124:296,0
00:00:125:300,0
00:00:126:300,0
00:00:127:304,0
00:00:128:308,0
00:00:129:312,0
