Elapsed time,EMG
00:00:000:000,580
00:00:001:004,583
00:00:002:008,547
00:00:003:012,551
00:00:004:016,548
00:00:005:016,549
00:00:006:020,557
00:00:007:020,588
00:00:008:024,560
00:00:009:028,580
00:00:010:032,543
00:00:011:036,547
00:00:012:036,561
00:00:013:040,542
00:00:014:044,539
00:00:015:048,581
00:00:016:048,556
00:00:017:052,602
00:00:018:056,615
00:00:019:056,574
00:00:020:060,569
00:00:021:064,559
00:00:022:064,547
00:00:023:068,587
00:00:024:068,542
00:00:025:072,547
00:00:026:072,555
00:00:027:076,543
00:00:028:076,590
00:00:029:080,590
00:00:030:084,571
00:00:031:088,563
00:00:032:088,541
00:00:033:092,543
00:00:034:096,560
00:00:035:096,562
00:00:036:100,550
00:00:037:104,583
00:00:038:104,577
00:00:039:108,633
00:00:040:112,619
00:00:041:112,617
00:00:042:116,553
00:00:043:120,563
00:00:044:124,548
00:00:045:128,556
00:00:046:128,541
00:00:047:132,542
00:00:048:132,543
00:00:049:136,560
00:00:050:140,558
00:00:051:140,561
00:00:052:144,557
00:00:053:148,563
00:00:054:152,578
00:00:055:152,560
00:00:056:156,560
00:00:057:160,565
00:00:058:164,575
00:00:059:168,583
00:00:060:172,568
00:00:061:176,638
00:00:062:176,588
00:00:063:176,595
00:00:064:180,593
00:00:065:184,564
00:00:066:184,543
00:00:067:184,541
00:00:068:188,536
00:00:069:188,548
00:00:070:192,569
00:00:071:196,565
00:00:072:200,627
00:00:073:200,595
00:00:074:204,633
00:00:075:208,575
00:00:076:212,583
00:00:077:212,557
00:00:078:216,583
00:00:079:220,569
00:00:080:224,577
00:00:081:224,600
00:00:082:228,575
00:00:083:232,625
00:00:084:232,598
00:00:085:236,590
00:00:086:236,551
00:00:087:236,567
00:00:088:240,542
00:00:089:240,543
00:00:090:244,541
00:00:091:244,551
00:00:092:248,572
00:00:093:252,577
00:00:094:252,603
00:00:095:256,608
00:00:096:260,617
00:00:097:260,579
00:00:098:264,605
00:00:099:264,617
00:00:100:264,705
00:00:101:268,785
00:00:102:268,837
00:00:103:272,838
00:00:104:276,834
00:00:105:276,798
00:00:106:280,749
00:00:107:280,709
00:00:108:284,692
00:00:109:284,706
00:00:110:288,719
00:00:111:288,764
00:00:112:292,732
00:00:113:292,719
00:00:114:296,726
00:00:115:296,753
00:00:116:300,774
00:00:117:300,790
00:00:118:304,804
00:00:119:308,825
00:00:120:308,835
00:00:121:312,839
00:00:122:316,798
00:00:123:316,719
00:00:124:316,636
00:00:125:316,564
00:00:126:316,664
00:00:127:320,759
00:00:128:320,837
00:00:129:324,851
00:00:130:324,856
00:00:131:328,854
00:00:132:328,849
00:00:133:332,839
00:00:134:332,807
00:00:135:332,752
00:00:136:332,695
00:00:137:332,651
00:00:138:336,581
00:00:139:340,540
00:00:140:340,600
00:00:141:344,623
00:00:142:348,629
00:00:143:352,608
00:00:144:356,564
00:00:145:356,558
00:00:146:360,617
00:00:147:360,665
00:00:148:364,700
00:00:149:364,693
00:00:150:368,699
00:00:151:372,691
00:00:152:376,664
00:00:153:380,639
00:00:154:380,589
00:00:155:384,585
00:00:156:388,543
00:00:157:388,560
00:00:158:392,575
00:00:159:392,610
00:00:160:392,639
00:00:161:392,651
00:00:162:392,653
00:00:163:396,646
00:00:164:400,610
00:00:165:400,558
00:00:166:400,579
00:00:167:404,609
00:00:168:408,633
00:00:169:408,636
00:00:170:412,564
00:00:171:412,582
00:00:172:416,549
00:00:173:420,549
00:00:174:424,544
00:00:175:428,549
00:00:176:428,542
00:00:177:432,536
00:00:178:432,568
00:00:179:436,565
00:00:180:440,573
00:00:181:440,604
00:00:182:440,562
00:00:183:444,561
00:00:184:448,556
00:00:185:448,550
00:00:186:452,543
00:00:187:452,557
00:00:188:456,543
00:00:189:456,535
00:00:190:456,542
00:00:191:460,542
00:00:192:460,581
00:00:193:460,568
00:00:194:464,598
00:00:195:464,553
00:00:196:468,588
00:00:197:468,558
00:00:198:468,564
