Elapsed time EKG,EKG,Elapsed time EMG,EMG
00:00:000:000,329,00:00:000:000,575
00:00:001:000,330,00:00:001:004,875
00:00:002:000,332,00:00:002:008,874
00:00:003:000,330,00:00:003:012,875
00:00:004:004,329,00:00:004:016,875
00:00:005:008,327,00:00:005:020,875
00:00:006:008,327,00:00:006:024,873
00:00:007:012,326,00:00:007:028,876
00:00:008:012,327,00:00:008:028,877
00:00:009:012,327,00:00:009:032,878
00:00:010:012,327,00:00:010:036,871
00:00:011:012,332,00:00:011:040,862
00:00:012:012,335,00:00:012:044,874
00:00:013:012,337,00:00:013:048,875
00:00:014:012,341,00:00:014:048,875
00:00:015:012,348,00:00:015:052,873
00:00:016:012,349,00:00:016:056,875
00:00:017:012,352,00:00:017:060,875
00:00:018:012,351,00:00:018:060,878
00:00:019:012,352,00:00:019:064,760
00:00:020:012,351,00:00:020:068,732
00:00:021:012,351,00:00:021:068,875
00:00:022:012,350,00:00:022:068,875
00:00:023:012,350,00:00:023:068,875
00:00:024:012,350,00:00:024:068,875
00:00:025:016,347,00:00:025:068,875
00:00:026:016,348,00:00:026:068,875
00:00:027:016,344,00:00:027:072,876
00:00:028:016,344,00:00:028:072,876
00:00:029:016,342,00:00:029:072,877
00:00:030:016,342,00:00:030:072,873
00:00:031:016,344,00:00:031:072,877
00:00:032:016,345,00:00:032:076,874
00:00:033:016,348,00:00:033:076,874
00:00:034:016,352,00:00:034:080,874
00:00:035:016,355,00:00:035:084,875
00:00:036:016,358,00:00:036:084,875
00:00:037:016,359,00:00:037:088,875
00:00:038:016,363,00:00:038:092,876
00:00:039:016,364,00:00:039:096,668
00:00:040:020,366,00:00:040:100,769
00:00:041:020,364,00:00:041:104,875
00:00:042:024,364,00:00:042:108,874
00:00:043:028,364,00:00:043:112,873
00:00:044:028,363,00:00:044:116,875
00:00:045:028,361,00:00:045:116,875
00:00:046:028,359,00:00:046:116,876
00:00:047:036,359,00:00:047:116,876
00:00:048:036,355,00:00:048:116,877
00:00:049:036,355,00:00:049:116,875
00:00:050:036,355,00:00:050:120,871
00:00:051:036,350,00:00:051:124,872
00:00:052:036,350,00:00:052:128,874
00:00:053:036,348,00:00:053:132,874
00:00:054:036,349,00:00:054:132,875
00:00:055:040,347,00:00:055:136,875
00:00:056:040,351,00:00:056:140,875
00:00:057:040,349,00:00:057:140,876
00:00:058:040,345,00:00:058:140,877
00:00:059:040,348,00:00:059:140,612
00:00:060:040,345,00:00:060:144,844
00:00:061:040,345,00:00:061:148,873
00:00:062:040,344,00:00:062:152,875
00:00:063:040,341,00:00:063:156,875
00:00:064:040,340,00:00:064:156,873
00:00:065:044,339,00:00:065:160,875
00:00:066:044,338,00:00:066:164,876
00:00:067:044,335,00:00:067:164,877
00:00:068:044,335,00:00:068:168,877
00:00:069:044,337,00:00:069:172,877
00:00:070:048,335,00:00:070:176,866
00:00:071:052,339,00:00:071:180,875
00:00:072:052,339,00:00:072:180,874
00:00:073:052,339,00:00:073:184,874
00:00:074:052,339,00:00:074:188,874
00:00:075:052,339,00:00:075:192,875
00:00:076:052,340,00:00:076:196,875
00:00:077:052,341,00:00:077:196,876
00:00:078:052,341,00:00:078:200,865
00:00:079:052,341,00:00:079:204,700
00:00:080:052,342,00:00:080:208,851
00:00:081:052,339,00:00:081:212,875
00:00:082:052,334,00:00:082:216,875
00:00:083:052,332,00:00:083:216,874
00:00:084:052,331,00:00:084:216,875
00:00:085:056,324,00:00:085:216,874
00:00:086:056,321,00:00:086:220,876
00:00:087:056,319,00:00:087:220,877
00:00:088:056,319,00:00:088:224,877
00:00:089:056,316,00:00:089:228,877
00:00:090:060,316,00:00:090:232,867
00:00:091:068,319,00:00:091:236,875
00:00:092:068,317,00:00:092:240,871
00:00:093:072,319,00:00:093:244,873
00:00:094:072,323,00:00:094:248,874
00:00:095:072,327,00:00:095:252,875
00:00:096:072,332,00:00:096:256,875
00:00:097:072,337,00:00:097:260,876
00:00:098:072,339,00:00:098:260,856
00:00:099:072,343,00:00:099:264,761
00:00:100:072,342,00:00:100:268,853
00:00:101:076,345,00:00:101:272,875
00:00:102:076,342,00:00:102:276,874
00:00:103:076,338,00:00:103:280,872
00:00:104:076,335,00:00:104:280,872
00:00:105:076,335,00:00:105:284,875
00:00:106:080,332,00:00:106:284,876
00:00:107:080,332,00:00:107:288,877
00:00:108:080,326,00:00:108:288,875
00:00:109:080,326,00:00:109:288,878
00:00:110:080,323,00:00:110:292,868
00:00:111:080,323,00:00:111:300,874
00:00:112:080,323,00:00:112:300,874
00:00:113:080,323,00:00:113:304,873
00:00:114:080,324,00:00:114:304,875
00:00:115:080,324,00:00:115:308,873
00:00:116:080,323,00:00:116:312,875
00:00:117:080,323,00:00:117:312,877
00:00:118:084,323,00:00:118:316,845
00:00:119:084,322,00:00:119:320,842
00:00:120:084,322,00:00:120:324,856
00:00:121:084,322,00:00:121:328,874
00:00:122:084,321,00:00:122:328,874
00:00:123:084,322,00:00:123:328,875
00:00:124:084,320,00:00:124:328,873
00:00:125:084,321,00:00:125:328,875
00:00:126:084,320,00:00:126:328,876
00:00:127:088,323,00:00:127:328,877
00:00:128:088,319,00:00:128:332,877
00:00:129:088,319,00:00:129:336,878
00:00:130:088,321,00:00:130:340,867
00:00:131:092,321,00:00:131:344,874
00:00:132:092,322,00:00:132:344,874
00:00:133:096,323,00:00:133:344,874
00:00:134:096,326,00:00:134:348,875
00:00:135:096,329,00:00:135:352,873
00:00:136:100,334,00:00:136:356,873
00:00:137:100,332,00:00:137:360,877
00:00:138:100,332,00:00:138:360,763
00:00:139:100,336,00:00:139:364,846
00:00:140:104,335,00:00:140:368,857
