Elapsed time,EKG
00:00:000:000,316
00:00:001:004,318
00:00:002:008,318
00:00:003:012,322
00:00:004:016,321
00:00:005:020,323
00:00:006:020,326
00:00:007:024,327
00:00:008:028,329
00:00:009:028,330
00:00:010:032,333
00:00:011:032,331
00:00:012:036,332
00:00:013:040,332
00:00:014:044,333
00:00:015:048,327
00:00:016:052,324
00:00:017:056,323
00:00:018:060,319
00:00:019:064,316
00:00:020:068,316
00:00:021:072,315
00:00:022:076,315
00:00:023:080,316
00:00:024:084,319
00:00:025:088,323
00:00:026:092,327
00:00:027:096,331
00:00:028:100,332
00:00:029:104,334
00:00:030:108,335
00:00:031:112,337
00:00:032:112,334
00:00:033:116,334
00:00:034:116,330
00:00:035:116,327
00:00:036:120,326
00:00:037:124,322
00:00:038:132,319
00:00:039:132,319
00:00:040:132,319
00:00:041:136,317
00:00:042:136,319
00:00:043:140,321
00:00:044:144,323
00:00:045:148,326
00:00:046:152,331
00:00:047:156,333
00:00:048:156,335
00:00:049:156,335
00:00:050:160,335
00:00:051:164,337
00:00:052:164,335
00:00:053:168,334
00:00:054:168,334
00:00:055:172,332
00:00:056:176,327
00:00:057:180,326
00:00:058:184,323
00:00:059:184,323
00:00:060:188,319
00:00:061:192,319
00:00:062:196,319
00:00:063:200,321
00:00:064:204,323
00:00:065:208,326
00:00:066:212,330
00:00:067:216,332
00:00:068:220,335
00:00:069:220,335
00:00:070:224,339
00:00:071:224,335
00:00:072:224,337
00:00:073:228,335
00:00:074:232,332
00:00:075:236,331
00:00:076:240,327
00:00:077:244,326
00:00:078:248,326
00:00:079:252,323
00:00:080:256,323
00:00:081:260,323
00:00:082:264,327
00:00:083:268,329
00:00:084:272,330
00:00:085:276,335
00:00:086:276,334
00:00:087:276,335
00:00:088:280,339
00:00:089:284,338
00:00:090:288,337
00:00:091:292,336
00:00:092:296,334
00:00:093:300,332
00:00:094:300,327
00:00:095:300,325
00:00:096:304,321
00:00:097:308,319
00:00:098:312,317
00:00:099:316,318
00:00:100:320,316
00:00:101:324,317
00:00:102:328,318
00:00:103:328,324
00:00:104:328,324
00:00:105:328,327
00:00:106:328,331
00:00:107:328,335
00:00:108:332,339
00:00:109:332,342
00:00:110:336,342
00:00:111:340,341
00:00:112:344,339
00:00:113:344,336
00:00:114:348,334
00:00:115:352,332
00:00:116:352,327
00:00:117:356,322
00:00:118:356,323
00:00:119:356,317
00:00:120:360,318
00:00:121:360,316
00:00:122:360,316
00:00:123:360,318
00:00:124:360,319
00:00:125:360,322
00:00:126:364,324
00:00:127:368,327
00:00:128:372,330
00:00:129:376,331
00:00:130:376,332
00:00:131:380,331
00:00:132:384,329
00:00:133:384,329
00:00:134:384,324
00:00:135:384,323
00:00:136:388,319
00:00:137:392,317
00:00:138:396,316
00:00:139:400,315
00:00:140:404,313
00:00:141:408,312
00:00:142:412,316
00:00:143:416,318
00:00:144:420,321
00:00:145:424,324
00:00:146:424,327
00:00:147:424,334
00:00:148:424,335
00:00:149:428,335
00:00:150:432,335
00:00:151:432,335
00:00:152:436,333
00:00:153:440,332
00:00:154:444,330
00:00:155:448,326
00:00:156:448,323
00:00:157:452,319
00:00:158:452,319
00:00:159:456,317
00:00:160:460,317
00:00:161:464,319
00:00:162:464,321
00:00:163:464,322
00:00:164:464,326
00:00:165:468,327
00:00:166:472,331
00:00:167:472,335
00:00:168:476,335
00:00:169:480,339
00:00:170:484,337
00:00:171:488,337
00:00:172:492,338
00:00:173:492,335
00:00:174:492,332
00:00:175:492,331
00:00:176:492,327
00:00:177:492,327
00:00:178:492,326
00:00:179:496,327
00:00:180:500,326
00:00:181:500,327
00:00:182:500,327
00:00:183:504,330
00:00:184:508,332
00:00:185:512,333
00:00:186:516,337
00:00:187:520,338
00:00:188:520,340
00:00:189:520,344
00:00:190:524,342
00:00:191:528,342
00:00:192:532,339
00:00:193:536,339
00:00:194:540,337
00:00:195:540,332
00:00:196:544,331
