Elapsed time,EKG
00:00:000:000,423
00:00:001:000,427
00:00:002:000,430
00:00:003:000,435
00:00:004:004,439
00:00:005:004,441
00:00:006:008,441
00:00:007:008,437
00:00:008:008,441
00:00:009:012,445
00:00:010:012,443
00:00:011:012,439
00:00:012:016,432
00:00:013:016,427
00:00:014:016,421
00:00:015:016,418
00:00:016:020,416
00:00:017:020,412
00:00:018:020,415
00:00:019:020,418
00:00:020:024,412
00:00:021:024,413
00:00:022:024,415
00:00:023:028,419
00:00:024:028,423
00:00:025:028,427
00:00:026:032,426
00:00:027:032,429
00:00:028:032,431
00:00:029:032,429
00:00:030:036,433
00:00:031:036,429
00:00:032:040,422
00:00:033:040,417
00:00:034:044,413
00:00:035:044,411
00:00:036:044,411
00:00:037:048,415
00:00:038:048,420
00:00:039:052,425
00:00:040:052,423
00:00:041:056,423
00:00:042:056,430
00:00:043:060,428
00:00:044:060,432
00:00:045:064,435
00:00:046:064,439
00:00:047:064,443
00:00:048:068,449
00:00:049:072,453
00:00:050:072,454
00:00:051:072,451
00:00:052:076,443
00:00:053:076,432
00:00:054:076,425
00:00:055:080,415
00:00:056:080,408
00:00:057:084,399
00:00:058:084,391
00:00:059:084,389
00:00:060:088,390
00:00:061:088,399
00:00:062:092,401
00:00:063:092,400
00:00:064:096,404
00:00:065:096,408
00:00:066:096,413
00:00:067:100,415
00:00:068:100,417
00:00:069:104,415
00:00:070:104,414
00:00:071:108,415
00:00:072:108,419
00:00:073:108,418
00:00:074:108,413
00:00:075:108,415
00:00:076:112,413
00:00:077:112,422
00:00:078:112,429
00:00:079:116,439
00:00:080:116,449
00:00:081:120,457
00:00:082:120,467
00:00:083:124,475
00:00:084:124,491
00:00:085:128,496
00:00:086:128,506
00:00:087:132,518
00:00:088:136,527
00:00:089:140,536
00:00:090:140,542
00:00:091:144,550
00:00:092:144,566
00:00:093:148,578
00:00:094:148,594
00:00:095:152,604
00:00:096:152,615
00:00:097:152,629
00:00:098:156,641
00:00:099:156,645
00:00:100:156,658
00:00:101:160,658
00:00:102:160,664
00:00:103:164,667
00:00:104:164,669
00:00:105:168,674
00:00:106:168,671
00:00:107:172,677
00:00:108:176,673
00:00:109:176,670
00:00:110:180,667
00:00:111:180,659
00:00:112:184,652
00:00:113:188,643
00:00:114:188,632
00:00:115:192,615
00:00:116:192,604
00:00:117:200,588
00:00:118:204,579
00:00:119:208,569
00:00:120:208,555
00:00:121:212,545
00:00:122:212,536
00:00:123:216,531
00:00:124:216,530
00:00:125:220,528
00:00:126:220,529
00:00:127:220,529
00:00:128:224,526
00:00:129:224,525
00:00:130:224,514
00:00:131:228,504
00:00:132:228,497
00:00:133:232,487
00:00:134:232,480
00:00:135:232,470
00:00:136:236,461
